ModuleId,UniversityName,ModuleName,LinkToCourseOutline,Description,Faculty,AY,Semester,Credits,Difficulty,Popularity
LAG1201,National University of Singapore (NUS),German 1,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
LAH1201,National University of Singapore (NUS),Hindi 1,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
LAJ1201,National University of Singapore (NUS),Japanese 1,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
LAK1201,National University of Singapore (NUS),Korean 1,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
LAL1201,National University of Singapore (NUS),Tamil 1,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
LAM1201,National University of Singapore (NUS),Malay 1,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
LAR1201,National University of Singapore (NUS),Arabic 1,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
LAS1201,National University of Singapore (NUS),Spanish 1,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
LAT1201,National University of Singapore (NUS),Thai 1,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
LAV1201,National University of Singapore (NUS),Vietnamese 1,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
MS1102E,National University of Singapore (NUS),Understanding the Contemporary Malay World,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
MS2212,National University of Singapore (NUS),Law and Malay Society,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
MS2213,National University of Singapore (NUS),Families and Households - Lived Experiences,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
MS2215,National University of Singapore (NUS),The Malays in History,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
MS2220,National University of Singapore (NUS),Arts and Artists in the Nusantara,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
MS2221,National University of Singapore (NUS),Sufism in Southeast Asia,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
MS3214,National University of Singapore (NUS),Asian Traditions and Modernisation,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
MS3215,National University of Singapore (NUS),Malays and Modernization,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
MS3216,National University of Singapore (NUS),Gender and Islam,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
MS3217,National University of Singapore (NUS),"Political Economy, Ethnicity, Religion",https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
MS5101,National University of Singapore (NUS),SOCIAL SCIENCE AND MALAY STUDIES,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
NM1101E,National University of Singapore (NUS),"Communications, New Media and Society",https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
NM2201,National University of Singapore (NUS),Intercultural Communication,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
NM2207,National University of Singapore (NUS),Computational Media Literacy,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
NM3241,National University of Singapore (NUS),Cultural Studies: Theory and Practice,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
PE3101P,National University of Singapore (NUS),Decision and Social Choice,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
PH2208,National University of Singapore (NUS),Applied Ethics,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
PH2209,National University of Singapore (NUS),Philosophy of Art,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
PH2211,National University of Singapore (NUS),Philosophy of Religion,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PH2212,National University of Singapore (NUS),Introduction to Continental Philosophy,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PH2213,National University of Singapore (NUS),Metaphysics,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PH2241,National University of Singapore (NUS),Philosophy of Mind,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PH2243,National University of Singapore (NUS),Epistemology,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PH3203,National University of Singapore (NUS),Moral Philosophy,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PH3217,National University of Singapore (NUS),Feminist Philosophy,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PH3245,National University of Singapore (NUS),Language and Thought,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PH3250,National University of Singapore (NUS),Quantification and Modality,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PH4202,National University of Singapore (NUS),Political Philosophy,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PH4203,National University of Singapore (NUS),Issues in Moral Philosophy,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PH4206,National University of Singapore (NUS),A Major Philosopher,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PH4214,National University of Singapore (NUS),Recent Continental European Philosophy,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PH4244,National University of Singapore (NUS),Issues in Philosophy of Mathematics,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PL1101E,National University of Singapore (NUS),Introduction to Psychology,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PL3102,National University of Singapore (NUS),Biological Psychology,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PL3103,National University of Singapore (NUS),Cognitive Psychology,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PL3104,National University of Singapore (NUS),Developmental Psychology,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PL3105,National University of Singapore (NUS),Social Psychology,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PL3106,National University of Singapore (NUS),Abnormal Psychology,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PL3242,National University of Singapore (NUS),Health Psychology,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PL3250,National University of Singapore (NUS),Human Performance,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PL3252,National University of Singapore (NUS),Social-Cognitive Perspectives on Emotion,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PL3257,National University of Singapore (NUS),Introduction to Clinical Psychology,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PL3260,National University of Singapore (NUS),Moral Development,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS1101E,National University of Singapore (NUS),Introduction to Politics,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS2203,National University of Singapore (NUS),Ancient Western Political Thought,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS2234,National University of Singapore (NUS),Introduction to Comparative Politics,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS2237,National University of Singapore (NUS),Introduction to International Relations,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS2240,National University of Singapore (NUS),Introduction to Public Administration,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS2249,National University of Singapore (NUS),Government and Politics of Singapore,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS2255,National University of Singapore (NUS),Politics of the Middle East,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS2257,National University of Singapore (NUS),Contemporary African Politics,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS2258,National University of Singapore (NUS),Introduction to Political Theory,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS3237,National University of Singapore (NUS),Women and Politics,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS3257,National University of Singapore (NUS),Political Inquiry,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS3260,National University of Singapore (NUS),Politics and the Visual,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS3262,National University of Singapore (NUS),Managing Non-Profit Organisations,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS3265,National University of Singapore (NUS),Civil-Military Relations,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS3276,National University of Singapore (NUS),Comparative Political Behaviour,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS3311,National University of Singapore (NUS),International Ethics,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS4201,National University of Singapore (NUS),Contemporary Political Theory,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS4203,National University of Singapore (NUS),China's Foreign Policy,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
PS4209,National University of Singapore (NUS),Public Organisation Theory and Practice,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,4
